MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
New York City 445 8
Madrid 445 23
Torino 445 10
Madrid 446 27
Torino 446 17
New York City 446 7
Madrid 447 27
Torino 447 19
New York City 447 10
Madrid 448 7
Torino 448 10
New York City 448 9
Madrid 449 13
Torino 449 11
New York City 449 6
Madrid 450 25
Torino 450 14
New York City 450 14
New York City 451 8
Madrid 451 26
Torino 451 18
Madrid 452 19
Torino 452 11
New York City 452 14
Madrid 453 22
New York City 453 8
Torino 453 14
Madrid 454 16
New York City 454 10
Torino 454 12
Madrid 455 17
Torino 455 9
New York City 455 10
Madrid 456 21
Torino 456 13
New York City 456 5
New York City 457 7
Madrid 457 15
Torino 457 16
New York City 458 9
Madrid 458 17
Torino 458 18
Madrid 459 27
New York City 459 3
Torino 459 10
Madrid 460 18
Torino 460 17
New York City 460 10
New York City 461 5
Madrid 461 27
Torino 461 23
Madrid 462 25
Torino 462 18
New York City 462 6
Madrid 463 38
New York City 463 8
Torino 463 28
Madrid 464 50
Torino 464 32
New York City 464 7
Madrid 465 53
New York City 465 19
Torino 465 37
Madrid 466 51
New York City 466 15
Torino 466 31
New York City 467 29
Madrid 467 69
Torino 467 51
Madrid 468 85
New York City 468 32
Torino 468 36
Madrid 469 84
New York City 469 26
Torino 469 48
Madrid 470 76
New York City 470 26
Torino 470 68
Madrid 471 75
Torino 471 62
New York City 471 31
Madrid 472 79
Torino 472 64
New York City 472 26
Madrid 473 87
Torino 473 54
New York City 473 23
Madrid 474 64
Torino 474 44
New York City 474 22
Madrid 475 74
New York City 475 35
Torino 475 37
Madrid 476 77
New York City 476 20
Torino 476 66
Madrid 477 64
New York City 477 23
Torino 477 53
Madrid 478 55
Torino 478 32
New York City 478 34
Madrid 479 54
New York City 479 23
Torino 479 35
Madrid 480 42
Torino 480 34
New York City 480 18
Madrid 481 36
Torino 481 32
New York City 481 21
Madrid 482 44
Torino 482 33
New York City 482 21
Madrid 483 34
Torino 483 29
New York City 483 15
Torino 484 15
Madrid 484 31
New York City 484 15
Torino 485 24
Madrid 485 31
New York City 485 16
Madrid 486 35
Torino 486 18
New York City 486 12
New York City 487 7
Madrid 487 33
Torino 487 11
Torino 488 13
Madrid 488 17
New York City 488 10
New York City 489 8
Madrid 489 35
Torino 489 18
Madrid 490 19
Torino 490 16
New York City 490 10
Torino 491 17
Madrid 491 16
New York City 491 15
Madrid 492 20
New York City 492 6
Torino 492 13
Torino 493 17
Madrid 493 33
New York City 493 19
Torino 494 18
Madrid 494 27
New York City 494 11
New York City 495 8
Madrid 495 25
Torino 495 15
Madrid 496 20
Torino 496 12
New York City 496 7
Torino 497 17
New York City 497 7
Madrid 497 16
Madrid 498 18
New York City 498 7
Torino 498 20
Madrid 499 28
Torino 499 14
New York City 499 10
Madrid 500 18
New York City 500 10
Torino 500 12
Madrid 501 24
Torino 501 19
New York City 501 7
New York City 502 3
Madrid 502 25
Torino 502 16
Madrid 503 22
Torino 503 11
New York City 503 7
New York City 504 4
Madrid 504 20
Torino 504 8
Madrid 505 21
Torino 505 17
New York City 505 8
Madrid 506 24
Torino 506 12
New York City 506 11
New York City 507 9
Madrid 507 26
Torino 507 18
Madrid 508 33
Torino 508 15
New York City 508 9
Madrid 509 27
Torino 509 20
New York City 509 11
Madrid 510 38
Torino 510 27
New York City 510 7
Madrid 511 41
New York City 511 14
Torino 511 23
Madrid 512 50
Torino 512 32
New York City 512 12
Madrid 513 48
Torino 513 55
New York City 513 16
Madrid 514 67
New York City 514 23
Torino 514 39
Madrid 515 73
Torino 515 46
New York City 515 20
Madrid 516 69
Torino 516 61
New York City 516 25
Madrid 517 79
Torino 517 63
New York City 517 21
Madrid 518 93
Torino 518 61
New York City 518 26
Madrid 519 78
New York City 519 21
Torino 519 54
Torino 520 52
