ID_INT,PROGR_USC,PROGR_SPOST,SESSO,FASCIA_ETA,COD_ZONA_RES,SCOPO,COD_ZONA_PAR,PROV_PAR,ORA_PAR,COD_ZONA_ARR,PROV_ARR,ORA_ARR,USO_MEZZ,MEZZO1,MEZZO2,MEZZO3,PAX_AUTO,NUM_LIN_URB,COD_ALTROURB,COD_ZONA_2M,PROV_2M,ORA_2MEZZO,COD_ZONA_3M,PROV_3M,ORA_3MEZZO,TASSO_CAMP
7571128,2,2,1,3,T000,8,Q006,1,02/02/2017 18:15,Q018,1,02/02/2017 18:30,2,,,,,,,,,,,,,0.987480162
7571130,1,1,2,2,T000,1,Q008,1,02/02/2017 08:00,Q022,1,02/02/2017 08:15,1,16,,,,,,,,,,,,0.98068799
7571130,1,2,2,2,T000,5,Q022,1,02/02/2017 16:00,Q001,1,02/02/2017 16:20,1,16,,,,,,,,,,,,0.98068799
7571130,1,3,2,2,T000,8,Q001,1,02/02/2017 16:45,Q008,1,02/02/2017 17:30,1,16,,,,,,,,,,,,0.98068799
7571145,1,1,2,3,T000,4,Q010,1,02/02/2017 10:00,Q010,1,02/02/2017 10:10,2,,,,,,,,,,,,,1.014198783
7571145,1,2,2,3,T000,8,Q010,1,02/02/2017 12:50,Q010,1,02/02/2017 13:00,2,,,,,,,,,,,,,1.014198783
7571146,1,1,2,2,T000,5,Q019,1,02/02/2017 08:00,Q018,1,02/02/2017 08:10,2,,,,,,,,,,,,,0.980246547
7571146,1,2,2,2,T000,1,Q018,1,02/02/2017 08:30,Q007,1,02/02/2017 09:05,1,6,,,,1,,,,,,,,0.980246547
7571146,1,3,2,2,T000,8,Q007,1,02/02/2017 13:30,Q019,1,02/02/2017 14:00,1,6,,,,1,,,,,,,,0.980246547
7571146,2,1,2,2,T000,5,Q019,1,02/02/2017 16:00,Q018,1,02/02/2017 16:10,2,,,,,,,,,,,,,0.980246547
7571146,2,2,2,2,T000,8,Q018,1,02/02/2017 18:20,Q019,1,02/02/2017 18:30,2,,,,,,,,,,,,,0.980246547
7571150,1,1,2,2,T000,1,Q001,1,02/02/2017 07:30,Q016,1,02/02/2017 07:45,1,4,,,,,,,,,,,,1.023374811
7571150,1,2,2,2,T000,8,Q016,1,02/02/2017 18:15,Q001,1,02/02/2017 19:00,1,4,,,,,,,,,,,,1.023374811
7571155,1,1,2,3,T000,1,Q003,1,02/02/2017 07:30,Q010,1,02/02/2017 07:45,1,3,,,0,,,,,,,,,0.984711065
7571155,1,2,2,3,T000,4,Q010,1,02/02/2017 16:25,Q010,1,02/02/2017 16:35,2,,,,,,,,,,,,,0.984711065
7571155,1,3,2,3,T000,1,Q010,1,02/02/2017 16:40,Q010,1,02/02/2017 16:45,2,,,,,,,,,,,,,0.984711065
7571155,1,4,2,3,T000,8,Q010,1,02/02/2017 16:50,Q003,1,02/02/2017 17:00,1,3,,,0,,,,,,,,,0.984711065
7571156,1,1,1,1,T000,3,Q005,1,02/02/2017 07:30,Q004,1,02/02/2017 07:55,1,6,,,,2,,,,,,,,0.993048659
7571156,1,2,1,1,T000,8,Q004,1,02/02/2017 13:20,Q005,1,02/02/2017 13:40,2,,,,,,,,,,,,,0.993048659
7571156,2,1,1,1,T000,7,Q005,1,02/02/2017 15:00,Q004,1,02/02/2017 15:10,2,,,,,,,,,,,,,0.993048659
7571156,2,2,1,1,T000,7,Q004,1,02/02/2017 15:15,Q005,1,02/02/2017 15:30,2,,,,,,,,,,,,,0.993048659
7571156,2,3,1,1,T000,8,Q005,1,02/02/2017 18:45,Q005,1,02/02/2017 19:00,2,,,,,,,,,,,,,0.993048659
7571165,2,1,1,2,T000,4,Q005,1,02/02/2017 18:00,Q013,1,02/02/2017 18:15,1,3,,,0,,,,,,,,,1.003199862
7571165,2,2,1,2,T000,8,Q013,1,02/02/2017 20:15,Q005,1,02/02/2017 20:30,1,3,,,0,,,,,,,,,1.003199862
7571165,3,1,1,2,T000,7,Q005,1,02/02/2017 21:30,Q005,1,02/02/2017 21:45,1,3,,,1,,,,,,,,,1.003199862
7571165,3,2,1,2,T000,11,Q005,1,02/02/2017 00:05,Q005,1,02/02/2017 00:15,1,3,,,1,,,,,,,,,1.003199862
7571176,1,1,1,2,T000,1,Q010,1,02/02/2017 07:20,Q001,1,02/02/2017 07:40,1,3,,,0,,,,,,,,,0.992211672
7571176,1,2,1,2,T000,9,Q001,1,02/02/2017 18:00,Q012,1,02/02/2017 18:20,1,3,,,0,,,,,,,,,0.992211672
7571176,1,3,1,2,T000,8,Q012,1,02/02/2017 18:50,Q010,1,02/02/2017 19:00,1,3,,,0,,,,,,,,,0.992211672
7571185,1,1,1,2,T000,1,Q004,1,02/02/2017 08:00,Q023,1,02/02/2017 08:25,1,3,,,0,,,,,,,,,1.020945164
7571185,1,2,1,2,T000,8,Q023,1,02/02/2017 18:00,Q004,1,02/02/2017 18:30,1,3,,,0,,,,,,,,,1.020945164
7571185,2,1,1,2,T000,7,Q004,1,02/02/2017 20:15,Q002,1,02/02/2017 20:45,1,3,,,1,,,,,,,,,1.020945164
7571185,2,2,1,2,T000,8,Q002,1,02/02/2017 23:15,Q004,1,02/02/2017 23:30,1,3,,,1,,,,,,,,,1.020945164
7571193,1,1,1,2,T000,7,Q004,1,02/02/2017 19:00,Q004,1,02/02/2017 19:30,1,4,,,,,,,,,,,,1.045958796
7571193,1,2,1,2,T000,8,Q004,1,02/02/2017 21:30,Q004,1,02/02/2017 22:00,1,4,,,,,,,,,,,,1.045958796
7571196,1,1,1,2,T000,1,Q019,1,02/02/2017 07:20,Q003,1,02/02/2017 08:00,1,3,,,0,,,,,,,,,1.014040562
7571196,1,2,1,2,T000,8,Q003,1,02/02/2017 18:30,Q019,1,02/02/2017 19:00,1,3,,,0,,,,,,,,,1.014040562
7571198,1,1,2,2,T000,4,Q016,1,02/02/2017 14:30,Q020,1,02/02/2017 14:45,1,3,,,0,,,,,,,,,1.548039711
