SESSO,FASCIA,SCOPO,ENOJY,CAR2GO,TOTAL
weekends,['2'],['4'],['4'],1.25554597301,1.21939873073,1.2323356681
weekends,['2'],['4'],['5'],1.65193490054,1.63414198222,1.63867504311
weekends,['2'],['4'],['2'],1.93931283906,1.93261921216,1.93588973317
weekends,['2'],['4'],['7'],1.42685687496,1.37793903095,1.40098564725
weekends,['2'],['4'],['3'],1.93757685353,1.93413959917,1.9358190493
weekends,['2'],['4'],['9'],1.51837251356,1.53046302695,1.52324792366
weekends,['2'],['4'],['11'],1.99746835443,1.99861782999,1.99805619367
weekends,['2'],['4'],['6'],1.55609403255,1.55118413328,1.55273035435
weekends,['2'],['4'],['10'],1.95226039783,1.94374568072,1.94790599046
weekends,['2'],['4'],['8'],1.11155679763,1.06130814677,1.07904078984
weekends,['2'],['3'],['1'],1.16745459392,1.17641582943,1.16859298977
weekends,['2'],['3'],['4'],1.20183544304,1.17788034357,1.18517390124
weekends,['2'],['3'],['5'],1.63604161753,1.6208126759,1.62677894133
weekends,['2'],['3'],['2'],1.75305605787,1.70359364202,1.72776108853
weekends,['2'],['3'],['7'],1.40143242522,1.37587660167,1.38723750648
weekends,['2'],['3'],['9'],1.63862567812,1.61543844963,1.62569209212
weekends,['2'],['3'],['11'],1.96209764919,1.94885970974,1.95532779643
weekends,['2'],['3'],['6'],1.55469189039,1.53754717984,1.54342300216
weekends,['2'],['3'],['10'],1.99746835443,1.999032481,1.99826824527
weekends,['2'],['3'],['8'],0.989224386576,0.96113258402,0.966208084937
weekends,['2'],['2'],['1'],0.91513243272,0.880952071222,0.88995062524
weekends,['2'],['2'],['4'],1.19000119616,1.15487994751,1.16807674563
weekends,['2'],['2'],['5'],1.28134840588,1.23714563415,1.25402099538
weekends,['2'],['2'],['2'],1.55175406872,1.49692302629,1.52197595066
weekends,['2'],['2'],['7'],1.24696366924,1.19630673404,1.2175848302
weekends,['2'],['2'],['3'],1.64472737303,1.59381420355,1.61869049152
weekends,['2'],['2'],['9'],1.52696241007,1.52935493832,1.52687378042
weekends,['2'],['2'],['11'],1.7983363472,1.75659986178,1.77699240148
weekends,['2'],['2'],['6'],1.48446051838,1.47338664561,1.47545250297
weekends,['2'],['2'],['10'],1.98112115732,1.98631651693,1.98377805266
weekends,['2'],['2'],['8'],0.908381792199,0.867270746693,0.875767583203
weekdays,['1'],['1'],['1'],1.92660656663,1.90161424384,1.91237238621
weekdays,['1'],['1'],['4'],1.78890705717,1.76761888097,1.77678254424
weekdays,['1'],['1'],['5'],1.99117310837,1.99179754145,1.99152874931
