TOTAL,AREA,HOUR,LONG,LAT,,,,,,,
1,739,14,7.637173335,45.0491545,,,,,,,
1,739,16,7.637173335,45.0491545,,,,,,,
1,739,21,7.637173335,45.0491545,,,,,,,
1,740,6,7.643527088,45.0491545,,,,,,,
1,740,8,7.643527088,45.0491545,,,,,,,
1,740,23,7.643527088,45.0491545,,,,,,,
1,741,1,7.649880842,45.0491545,,,,,,,
2,741,2,7.649880842,45.0491545,,,,,,,
1,741,3,7.649880842,45.0491545,,,,,,,
1,741,6,7.649880842,45.0491545,,,,,,,
1,741,7,7.649880842,45.0491545,,,,,,,
1,741,8,7.649880842,45.0491545,,,,,,,
1,741,11,7.649880842,45.0491545,,,,,,,
2,741,12,7.649880842,45.0491545,,,,,,,
1,741,18,7.649880842,45.0491545,,,,,,,
4,741,20,7.649880842,45.0491545,,,,,,,
1,742,0,7.656234595,45.0491545,,,,,,,
1,742,8,7.656234595,45.0491545,,,,,,,
2,742,11,7.656234595,45.0491545,,,,,,,
1,742,12,7.656234595,45.0491545,,,,,,,
2,742,14,7.656234595,45.0491545,,,,,,,
1,742,16,7.656234595,45.0491545,,,,,,,
2,742,17,7.656234595,45.0491545,,,,,,,
2,742,18,7.656234595,45.0491545,,,,,,,
4,742,19,7.656234595,45.0491545,,,,,,,
1,742,21,7.656234595,45.0491545,,,,,,,
1,743,0,7.662588348,45.0491545,,,,,,,
1,743,1,7.662588348,45.0491545,,,,,,,
1,743,7,7.662588348,45.0491545,,,,,,,
2,743,8,7.662588348,45.0491545,,,,,,,
3,743,9,7.662588348,45.0491545,,,,,,,
3,743,10,7.662588348,45.0491545,,,,,,,
2,743,12,7.662588348,45.0491545,,,,,,,
6,743,13,7.662588348,45.0491545,,,,,,,
1,743,14,7.662588348,45.0491545,,,,,,,
1,743,15,7.662588348,45.0491545,,,,,,,
1,743,16,7.662588348,45.0491545,,,,,,,
1,743,17,7.662588348,45.0491545,,,,,,,
2,743,18,7.662588348,45.0491545,,,,,,,
2,743,19,7.662588348,45.0491545,,,,,,,
1,743,20,7.662588348,45.0491545,,,,,,,
1,743,21,7.662588348,45.0491545,,,,,,,
1,743,23,7.662588348,45.0491545,,,,,,,
1,744,0,7.668942101,45.0491545,,,,,,,
