AREA,HOUR,TOTAL,LONG,LAT
782,10,5,7.656234595,45.0536497
782,11,2,7.656234595,45.0536497
782,12,3,7.656234595,45.0536497
782,13,3,7.656234595,45.0536497
782,14,1,7.656234595,45.0536497
782,15,3,7.656234595,45.0536497
782,16,2,7.656234595,45.0536497
782,17,2,7.656234595,45.0536497
782,18,3,7.656234595,45.0536497
782,21,2,7.656234595,45.0536497
782,22,2,7.656234595,45.0536497
782,23,2,7.656234595,45.0536497
783,1,1,7.662588348,45.0536497
783,2,1,7.662588348,45.0536497
783,4,2,7.662588348,45.0536497
783,6,2,7.662588348,45.0536497
783,7,2,7.662588348,45.0536497
783,8,3,7.662588348,45.0536497
783,9,3,7.662588348,45.0536497
783,10,1,7.662588348,45.0536497
783,14,2,7.662588348,45.0536497
783,16,2,7.662588348,45.0536497
783,17,5,7.662588348,45.0536497
783,18,1,7.662588348,45.0536497
783,19,4,7.662588348,45.0536497
783,20,2,7.662588348,45.0536497
783,21,3,7.662588348,45.0536497
783,23,4,7.662588348,45.0536497
784,1,4,7.668942101,45.0536497
784,8,1,7.668942101,45.0536497
784,11,2,7.668942101,45.0536497
784,12,2,7.668942101,45.0536497
784,13,2,7.668942101,45.0536497
784,14,2,7.668942101,45.0536497
784,16,2,7.668942101,45.0536497
784,17,3,7.668942101,45.0536497
784,18,1,7.668942101,45.0536497
784,19,2,7.668942101,45.0536497
784,20,3,7.668942101,45.0536497
784,21,2,7.668942101,45.0536497
784,22,1,7.668942101,45.0536497
784,23,2,7.668942101,45.0536497
785,0,3,7.675295855,45.0536497
785,1,3,7.675295855,45.0536497
785,4,2,7.675295855,45.0536497
785,7,2,7.675295855,45.0536497
785,8,1,7.675295855,45.0536497
785,9,3,7.675295855,45.0536497
785,10,2,7.675295855,45.0536497
785,11,1,7.675295855,45.0536497
785,12,3,7.675295855,45.0536497
785,13,1,7.675295855,45.0536497
785,14,2,7.675295855,45.0536497
785,15,2,7.675295855,45.0536497
785,16,3,7.675295855,45.0536497
785,17,2,7.675295855,45.0536497
785,19,2,7.675295855,45.0536497
785,20,6,7.675295855,45.0536497
785,21,3,7.675295855,45.0536497
785,22,2,7.675295855,45.0536497
785,23,1,7.675295855,45.0536497
786,0,4,7.681649608,45.0536497
786,2,1,7.681649608,45.0536497
786,3,1,7.681649608,45.0536497
786,4,1,7.681649608,45.0536497
786,5,1,7.681649608,45.0536497
786,6,1,7.681649608,45.0536497
786,9,1,7.681649608,45.0536497
786,11,4,7.681649608,45.0536497
786,12,1,7.681649608,45.0536497
786,13,1,7.681649608,45.0536497
786,14,2,7.681649608,45.0536497
786,15,1,7.681649608,45.0536497
786,16,2,7.681649608,45.0536497
786,17,1,7.681649608,45.0536497
786,18,5,7.681649608,45.0536497
786,19,6,7.681649608,45.0536497
786,20,1,7.681649608,45.0536497
786,21,2,7.681649608,45.0536497
786,22,12,7.681649608,45.0536497
786,23,3,7.681649608,45.0536497
787,9,1,7.688003361,45.0536497
787,11,1,7.688003361,45.0536497
787,12,2,7.688003361,45.0536497
787,15,1,7.688003361,45.0536497
787,16,3,7.688003361,45.0536497
787,17,4,7.688003361,45.0536497
787,18,2,7.688003361,45.0536497
787,19,3,7.688003361,45.0536497
787,20,4,7.688003361,45.0536497
787,22,1,7.688003361,45.0536497
788,1,2,7.694357114,45.0536497
788,9,3,7.694357114,45.0536497
788,10,1,7.694357114,45.0536497
788,11,1,7.694357114,45.0536497
788,14,1,7.694357114,45.0536497
788,15,1,7.694357114,45.0536497
788,16,1,7.694357114,45.0536497
788,17,1,7.694357114,45.0536497
788,18,3,7.694357114,45.0536497
788,21,3,7.694357114,45.0536497
788,23,1,7.694357114,45.0536497
817,17,1,7.624465829,45.05814489
817,20,2,7.624465829,45.05814489
818,18,1,7.630819582,45.05814489
819,1,1,7.637173335,45.05814489
819,2,1,7.637173335,45.05814489
819,10,1,7.637173335,45.05814489
819,12,1,7.637173335,45.05814489
819,13,1,7.637173335,45.05814489
819,19,1,7.637173335,45.05814489
819,20,2,7.637173335,45.05814489
