MongoDB shell version: 3.2.18
connecting to: bigdatadb.polito.it/carsharing
2018-01-30T13:50:35.122+0100 W NETWORK  [thread1] SSL peer certificate validation failed: self signed certificate
Madrid 295 418171
Madrid 240 418172
Madrid 187 418173
Madrid 134 418174
Madrid 93 418175
Madrid 51 418176
Madrid 50 418177
Madrid 38 418178
Madrid 44 418179
Madrid 75 418180
Madrid 309 418181
Madrid 366 418182
Madrid 313 418183
Madrid 237 418184
Madrid 250 418185
Madrid 262 418186
Madrid 357 418187
Madrid 424 418188
Madrid 343 418189
Madrid 375 418190
Madrid 364 418191
Madrid 351 418192
Madrid 361 418193
Madrid 418 418194
Madrid 406 418195
Madrid 357 418196
Madrid 325 418197
Madrid 307 418198
Madrid 212 418199
Madrid 129 418200
Madrid 134 418201
Madrid 80 418202
Madrid 64 418203
Madrid 61 418204
Madrid 61 418205
Madrid 115 418206
Madrid 170 418207
Madrid 223 418208
Madrid 249 418209
Madrid 276 418210
Madrid 376 418211
Madrid 351 418212
Madrid 225 418213
Madrid 258 418214
Madrid 301 418215
Madrid 300 418216
Madrid 338 418217
Madrid 400 418218
Madrid 333 418219
Madrid 277 418220
Madrid 248 418221
Madrid 93 418222
Madrid 169 418223
Madrid 113 418224
Madrid 91 418225
Madrid 67 418226
Madrid 49 418227
Madrid 46 418228
Madrid 31 418229
Madrid 60 418230
Madrid 68 418231
Madrid 133 418232
Madrid 169 418233
Madrid 208 418234
Madrid 243 418235
Madrid 261 418236
Madrid 170 418237
Madrid 175 418238
Madrid 210 418239
Madrid 251 418240
Madrid 215 418241
Madrid 268 418242
Madrid 229 418243
Madrid 180 418244
Madrid 151 418245
Madrid 116 418246
Madrid 54 418247
Madrid 44 418248
Madrid 36 418249
Madrid 33 418250
Madrid 25 418251
Madrid 65 418252
Madrid 263 418253
Madrid 389 418254
Madrid 306 418255
Madrid 197 418256
Madrid 222 418257
Madrid 233 418258
Madrid 344 418259
Madrid 360 418260
Madrid 344 418261
Madrid 315 418262
Madrid 346 418263
Madrid 376 418264
Madrid 369 418265
Madrid 349 418266
Madrid 234 418267
Madrid 175 418268
Madrid 140 418269
Madrid 100 418270
Madrid 50 418271
Madrid 54 418272
Madrid 37 418273
Madrid 41 418274
Madrid 25 418275
Madrid 62 418276
Madrid 260 418277
Madrid 408 418278
Madrid 316 418279
Madrid 225 418280
Madrid 200 418281
Madrid 234 418282
Madrid 374 418283
Madrid 382 418284
Madrid 373 418285
Madrid 326 418286
Madrid 368 418287
Madrid 382 418288
Madrid 355 418289
Madrid 399 418290
Madrid 261 418291
Madrid 209 418292
Madrid 154 418293
Madrid 104 418294
Madrid 75 418295
Madrid 44 418296
Madrid 36 418297
Madrid 39 418298
Madrid 44 418299
Madrid 67 418300
Madrid 268 418301
Madrid 369 418302
Madrid 324 418303
Madrid 215 418304
Madrid 223 418305
Madrid 234 418306
Madrid 340 418307
Madrid 383 418308
Madrid 354 418309
Madrid 382 418310
Madrid 343 418311
Madrid 360 418312
Madrid 366 418313
Madrid 380 418314
Madrid 334 418315
Madrid 194 418316
Madrid 160 418317
Madrid 137 418318
Madrid 82 418319
Madrid 45 418320
Madrid 52 418321
Madrid 38 418322
Madrid 31 418323
Madrid 62 418324
Madrid 257 418325
Madrid 375 418326
Madrid 318 418327
Madrid 245 418328
Madrid 231 418329
Madrid 262 418330
Madrid 330 418331
Madrid 346 418332
Madrid 372 418333
Madrid 334 418334
Madrid 311 418335
Madrid 345 418336
Madrid 348 418337
Madrid 390 418338
Madrid 314 418339
Madrid 230 418340
Madrid 209 418341
Madrid 146 418342
Madrid 98 418343
Madrid 64 418344
Madrid 52 418345
Madrid 44 418346
Madrid 36 418347
Madrid 71 418348
Madrid 261 418349
Madrid 386 418350
Madrid 297 418351
Madrid 195 418352
Madrid 235 418353
Madrid 262 418354
Madrid 378 418355
Madrid 404 418356
Madrid 381 418357
Madrid 366 418358
Madrid 348 418359
Madrid 331 418360
Madrid 403 418361
Madrid 447 418362
Madrid 393 418363
Madrid 329 418364
Madrid 311 418365
Madrid 275 418366
Madrid 204 418367
Madrid 137 418368
Madrid 115 418369
Madrid 86 418370
Madrid 61 418371
Madrid 64 418372
Madrid 53 418373
Madrid 138 418374
Madrid 169 418375
Madrid 204 418376
Madrid 257 418377
Madrid 300 418378
Madrid 384 418379
Madrid 344 418380
Madrid 210 418381
Madrid 238 418382
Madrid 276 418383
Madrid 288 418384
Madrid 329 418385
Madrid 426 418386
Madrid 367 418387
Madrid 270 418388
Madrid 286 418389
Madrid 284 418390
Madrid 198 418391
Madrid 130 418392
Madrid 103 418393
Madrid 65 418394
Madrid 41 418395
Madrid 39 418396
Madrid 30 418397
Madrid 73 418398
Madrid 91 418399
Madrid 127 418400
Madrid 172 418401
Madrid 202 418402
Madrid 279 418403
Madrid 259 418404
Madrid 192 418405
Madrid 225 418406
Madrid 262 418407
Madrid 275 418408
Madrid 248 418409
Madrid 272 418410
Madrid 225 418411
Madrid 175 418412
Madrid 129 418413
Madrid 85 418414
Madrid 57 418415
Madrid 40 418416
Madrid 45 418417
Madrid 35 418418
Madrid 29 418419
Madrid 65 418420
Madrid 242 418421
Madrid 391 418422
Madrid 319 418423
Madrid 208 418424
Madrid 216 418425
Madrid 252 418426
Madrid 339 418427
Madrid 380 418428
Madrid 358 418429
Madrid 341 418430
Madrid 328 418431
Madrid 396 418432
Madrid 325 418433
Madrid 349 418434
Madrid 249 418435
Madrid 193 418436
Madrid 142 418437
Madrid 88 418438
Madrid 57 418439
Madrid 37 418440
Madrid 28 418441
Madrid 22 418442
Madrid 24 418443
Madrid 68 418444
Madrid 279 418445
Madrid 374 418446
Madrid 333 418447
Madrid 245 418448
Madrid 208 418449
Madrid 240 418450
Madrid 319 418451
Madrid 385 418452
Madrid 403 418453
Madrid 344 418454
Madrid 318 418455
Madrid 313 418456
Madrid 378 418457
Madrid 383 418458
Madrid 259 418459
Madrid 243 418460
Madrid 172 418461
Madrid 102 418462
Madrid 68 418463
Madrid 49 418464
Madrid 57 418465
Madrid 39 418466
Madrid 34 418467
Madrid 64 418468
Madrid 236 418469
Madrid 409 418470
Madrid 327 418471
Madrid 254 418472
Madrid 241 418473
Madrid 250 418474
Madrid 355 418475
Madrid 396 418476
Madrid 367 418477
Madrid 341 418478
Madrid 357 418479
Madrid 407 418480
Madrid 350 418481
Madrid 377 418482
Madrid 261 418483
Madrid 224 418484
Madrid 156 418485
Madrid 86 418486
Madrid 61 418487
Madrid 37 418488
Madrid 35 418489
Madrid 41 418490
Madrid 24 418491
Madrid 75 418492
Madrid 263 418493
Madrid 398 418494
Madrid 287 418495
Madrid 238 418496
Madrid 241 418497
Madrid 263 418498
Madrid 349 418499
Madrid 404 418500
Madrid 379 418501
Madrid 337 418502
Madrid 330 418503
Madrid 330 418504
Madrid 349 418505
Madrid 392 418506
Madrid 340 418507
Madrid 263 418508
Madrid 224 418509
Madrid 137 418510
Madrid 112 418511
Madrid 75 418512
Madrid 69 418513
Madrid 39 418514
Madrid 41 418515
Madrid 75 418516
Madrid 281 418517
Madrid 396 418518
Madrid 287 418519
Madrid 246 418520
Madrid 251 418521
Madrid 285 418522
Madrid 306 418523
Madrid 434 418524
Madrid 365 418525
Madrid 390 418526
Madrid 382 418527
Madrid 341 418528
Madrid 396 418529
Madrid 428 418530
